spanish,english
Estoy herido.,I'm hurt.
Llego tarde.,I'm late.
Soy vago.,I'm lazy.
Estoy perdida.,I'm lost.
Soy malo.,I'm mean.
Me toca a mí.,I'm next.
Estoy perfectamente.,I'm okay.
Soy pobre.,I'm poor.
Soy rica.,I'm rich.
Soy rico.,I'm rich.
Estoy a salvo.,I'm safe.
Estoy enferma.,I'm sick.
Soy delgado.,I'm thin.
Estoy limpio.,I'm tidy.
Estoy calentito.,I'm warm.
Estoy débil.,I'm weak.
Soy listo.,I'm wise.
Gané.,I've won.
Eso ayuda.,It helps.
Duele.,It hurts.
Funciona.,It works.
Es Tom.,It's Tom.
Es divertido.,It's fun.
Es suyo.,It's his.
Es nuevo.,It's new.
Es extraño.,It's odd.
Es viejo.,It's old.
Es rojo.,It's red.
Es triste.,It's sad.
Prohibido pasar.,Keep out!
No entrar.,Keep out.
Besá a Tomás.,Kiss Tom.
Besa a Tomás.,Kiss Tom.
Besen a Tomás.,Kiss Tom.
Déjalo.,Leave it.
Déjame.,Leave me.
Déjanos.,Leave us.
Vamos.,Let's go!
¡Órale!,Let's go!
Cuidado.,Look out!
Cásate conmigo.,Marry me.
¿Puedo ir?,May I go?
Salva a Tom.,Save Tom.
Ella vino.,She came.
Ella murió.,She died.
Ella corre.,She runs.
¡Sentate!,Sit down!
Siéntate.,Sit down.
Siéntate aquí.,Sit here.
¡Hable más fuerte!,Speak up!
Habla más fuerte.,Speak up!
¡Habla más alto!,Speak up!
Prepárate.,Stand by.
Un momento.,Stand by.
¡Parate!,Stand up!
¡De pie!,Stand up!
No te muevas.,Stay put.
Detén a Tom.,Stop Tom.
Llévate a Tom.,Take Tom.
Díselo a Tom.,Tell Tom.
¡Genial!,Terrific!
¡Órale!,Terrific!
Ellos ganaron.,They won.
Tom vino.,Tom came.
Tom ha muerto.,Tom died.
Tom se cayó.,Tom fell.
Tom lo sabía.,Tom knew.
Tom tenía constancia de ello.,Tom knew.
Tom se fue.,Tom left.
Tom mintió.,Tom lied.
Tomás miente.,Tom lies.
Tom perdió.,Tom lost.
Tom pagó.,Tom paid.
Tom renunció.,Tom quit.
Tom nadó.,Tom swam.
Tom lloró.,Tom wept.
Tom se ha levantado.,Tom's up.
Demasiado tarde.,Too late.
Confía en mí.,Trust me.
Inténtalo de veras.,Try hard.
Prueba un poco.,Try some.
Pruebe un poco.,Try some.
Prueben un poco.,Try some.
Prueben esto.,Try this.
Probá esto.,Try this.
Prueba esto.,Try this.
Usa esto.,Use this.
Avísale a Tom.,Warn Tom.
Avísele a Tom.,Warn Tom.
Avísenle a Tom.,Warn Tom.
Avisale a Tom.,Warn Tom.
Mírame.,Watch me.
Vigílame.,Watch me.
Obsérvame.,Watch me.
Obsérvalos.,Watch us.
Obsérvanos.,Watch us.
Estamos de acuerdo.,We agree.
Lo intentamos.,We tried.
Iremos.,We'll go.
Estamos bien.,We're OK.
¿Para qué?,What for?
¡Qué divertido!,What fun!
¿Quién soy yo?,Who am I?
¿Quién vino?,Who came?
¿Quién murió?,Who died?
¿Quién se calló?,Who fell?
¿Quién se cayó?,Who fell?
¿Quién se ha ido?,Who quit?
¿Quién lo ha dejado?,Who quit?
¿Quién nadó?,Who swam?
¿Quién es él?,Who's he?
Escríbeme.,Write me.
Después de ti.,After you.
Tú primero.,After you.
Usted primero.,After you.
Después de usted.,After you.
Después de vosotras.,After you.
Apunta. ¡Fuego!,Aim. Fire!
Respóndeme.,Answer me.
Respondedme.,Answer me.
Respóndanme.,Answer me.
Los pájaros vuelan.,Birds fly.
Jesús.,Bless you.
¡Llama a casa!,Call home!
Cálmate.,Calm down.
Tranquilízate.,Calm down.
Tomátelo con soda.,Calm down.
Bajá un cambio.,Calm down.
¿Podemos ir?,Can we go?
¿Podemos irnos?,Can we go?
¿Podemos marcharnos?,Can we go?
¡Atrápelo a Tomás!,Catch Tom.
Captúralo.,Catch him.
Captúrenlo.,Catch him.
Atrápenlo.,Catch him.
Atrápalo.,Catch him.
Vuelve.,Come back.
Vení.,Come here.
Ven.,Come here.
Venid aquí.,Come here.
Ven a casa.,Come home.
Venid aquí.,Come over.
Vente.,Come over.
Veníos.,Come over.
Venga aquí.,Come over.
Vuelve pronto.,Come soon.
Hazlo ahora.,Do it now.
Los perros ladran.,Dogs bark.
No preguntes.,Don't ask.
No llores.,Don't cry.
¡No llorés!,Don't cry.
¡No llores!,Don't cry.
No lloren.,Don't cry.
No mintáis.,Don't lie.
No corras.,Don't run.
¡Fantástico!,Fantastic!
¡Es estupendo!,Fantastic!
¡Órale!,Fantastic!
Tienta esto.,Feel this.
Tiente esto.,Feel this.
Tienten esto.,Feel this.
Tentad esto.,Feel this.
Tentá esto.,Feel this.
Sígueme.,Follow me.
Seguidme.,Follow me.
Síguenos.,Follow us.
Déjalo.,Forget it.
Olvídame.,Forget me.
Olvídate de mí.,Forget me.
Olvídenme.,Forget me.
Olvídense de mí.,Forget me.
Preparaos.,Get ready.
Ve a por ello.,Go for it.
Ve a cogerlo.,Go for it.
Ve a por ello.,Go get it.
Vete a por ello.,Go get it.
Id a por ello.,Go get it.
Entra.,Go inside.
Vete a la cama.,Go to bed.
Cógelo.,Grab that.
Agarra esto.,Grab this.
Coge alguno.,Have some.
Toma algo.,Have some.
Tome alguno.,Have some.
Él es viejo.,He is old.
Él es anciano.,He is old.
Él se afeitó.,He shaved.
Sonrió.,He smiled.
Él es DJ.,He's a DJ.
Él es veloz.,He's fast.
Él es bueno.,He's good.
Él es rico.,He's rich.
Es rico.,He's rich.
Acá estoy.,Here I am.
Sostén esto.,Hold this.
¡Qué horror!,How awful!
¡Qué raro!,How weird!
¿Cómo está Tom?,How's Tom?
Divierte a Tom.,Humor Tom.
Estoy ocupada.,I am busy.
Estoy lleno.,I am full.
Estoy llena.,I am full.
Soy bueno.,I am good.
Estoy aquí.,I am here.
Estoy enferma.,I am sick.
Estoy débil.,I am weak.
Te lo ruego.,I beg you.
Te lo suplico.,I beg you.
Puedo volar.,I can fly.
Puedo correr.,I can run.
Sé correr.,I can run.
Sé esquiar.,I can ski.
Sentí vergüenza.,I cringed.
Perdí la consciencia.,I fainted.
Quedé inconsciente.,I fainted.
Lo dejé.,I gave up.
Me rendí.,I gave up.
Tiré la toalla.,I gave up.
Cedí.,I gave up.
Te entiendo.,I get you.
Te pillo.,I get you.
Ya te pillo.,I get you.
Me dieron.,I got hit.
Me alcanzaron.,I got hit.
Lo odio.,I hate it.
Me la seca.,I hate it.
Me la baja.,I hate it.
Golpeo a Tom.,I hit Tom.
Eso espero.,I hope so.
Lo sabía.,I knew it.
Me reí.,I laughed.
Me gusta.,I like it.
¡Lo adoro!,I love it!
Me encanta.,I love it.
Hablo en serio.,I mean it!
Lo digo en serio.,I mean it.
Hablo en serio.,I mean it.
Lo echo en falta.,I miss it.
Lo echo de menos.,I miss it.
Lo añoro.,I miss it.
Lo necesito.,I need it.
Vi a Tom.,I saw Tom.
Le vi.,I saw him.
Lo vi.,I saw him.
Vi uno.,I saw one.
Vi a uno.,I saw one.
Veía a uno.,I saw one.
Te vi.,I saw you.
Te he visto.,I saw you.
Veo a Tom.,I see Tom.
Me tropecé.,I tripped.
Yo cocinaré.,I'll cook.
Yo guisaré.,I'll cook.
Viviré.,I'll live.
Cantaré.,I'll sing.
Pararé.,I'll stop.
Lo dejaré.,I'll stop.
Esperaré.,I'll wait.
Aguardaré.,I'll wait.
Caminaré.,I'll walk.
Andaré.,I'll walk.
Voy a trabajar.,I'll work.
Soy un hombre.,I'm a man.
Soy un pro.,I'm a pro.
Estoy solo.,I'm alone.
Estoy sola.,I'm alone.
Yo estoy solo.,I'm alone.
Yo estoy sola.,I'm alone.
Estoy enojado.,I'm angry.
Estoy enojada.,I'm angry.
Estoy despierto.,I'm awake.
Soy ciega.,I'm blind.
Estoy sin dinero.,I'm broke.
Estoy quebrado.,I'm broke.
Estoy sin blanca.,I'm broke.
No tengo blanca.,I'm broke.
Estoy loco.,I'm crazy.
Estoy borracho.,I'm drunk.
Estoy tomada.,I'm drunk.
Estoy prendida.,I'm drunk.
Me estoy muriendo.,I'm dying.
Soy el primero.,I'm first.
Voy el primero.,I'm first.
Me toca primero.,I'm first.
Yo voy primero.,I'm first.
Soy feliz.,I'm happy.
Estoy feliz.,I'm happy.
Soy amado.,I'm loved.
Soy amada.,I'm loved.
Soy obeso.,I'm obese.
Estoy listo.,I'm ready.
Lo siento.,I'm sorry.
Yo estoy cansado.,I'm tired.
Yo estoy cansada.,I'm tired.
Soy tuyo.,I'm yours.
Soy tuya.,I'm yours.
Soy suyo.,I'm yours.
He perdido.,I've lost.
Ólvidalo.,Ignore it.
No hagas caso.,Ignore it.
¿Está bien Tom?,Is Tom OK?
¿Está Tom?,Is Tom in?
¿Es grave?,Is it bad?
¿Es malo?,Is it bad?
¿Está lejos?,Is it far?
¿Eres tú?,Is it you?
Se quemó.,It burned.
No lo consiguió.,It failed.
Falló.,It failed.
Fracasó.,It failed.
Es nuevo.,It is new.
Llovió.,It rained.
Nevó.,It snowed.
Apesta.,It stinks.
Funcionó.,It worked.
Son las tres y diez.,It's 3:10.
Son las 8:30.,It's 8:30.
Es un televisor.,It's a TV.
Hace frío.,It's cold.
Está frío.,It's cold.
Está frío.,It's cool.
Está fresco.,It's cool.
Está oscuro.,It's dark.
¡Está listo!,It's done!
Está perfecto.,It's fine.
Está bien.,It's good.
Es bueno.,It's good.
Está aquí.,It's here.
Es de ella.,It's hers.
Es tarde.,It's late.
Es mío.,It's mine.
Es mía.,It's mine.
Es agradable.,It's nice.
Hace buen tiempo.,It's nice.
Vale.,It's okay.
Está bien.,It's okay.
Es nuestro.,It's ours.
Es la nuestra.,It's ours.
Se terminó.,It's over.
Se acabó.,It's over.
Ha llegado el momento.,It's time.
Es la hora.,It's time.
Es el momento.,It's time.
Ha llegado la hora.,It's time.
¡Es verdad!,It's true!
Es verdad.,It's true.
Es mi trabajo.,It's work.
Guárdalos.,Keep them.
Quédatelos.,Keep them.
Guárdenselos.,Keep them.
Guarda esto.,Keep this.
Guarde esto.,Keep this.
Guardá esto.,Keep this.
Guardad esto.,Keep this.
Guarden esto.,Keep this.
Mantente caliente.,Keep warm.
Manténgase caliente.,Keep warm.
Mantenete caliente.,Keep warm.
Mantenete abrigado.,Keep warm.
Mantente abrigado.,Keep warm.
Manténgase abrigado.,Keep warm.
Manténganse calientes.,Keep warm.
Manténganse abrigados.,Keep warm.
Dejalo a Tomás.,Leave Tom.
Déjalo a Tomás.,Leave Tom.
Déjelo a Tomás.,Leave Tom.
Ahora márchate.,Leave now.
Ahora vete.,Leave now.
Ahora lárgate.,Leave now.
¡Déjame marchar!,Let me go!
¡Suéltame!,Let me go!
¡Déjeme ir!,Let me go!
¡Déjeme ir!,Let me go.
Déjame entrar.,Let me in.
Déjeme entrar.,Let me in.
Déjanos entrar.,Let us in.
Comamos.,Let's eat.
Veamos.,Let's see.
¡Intentémoslo!,Let's try!
Túmbate en silencio.,Lie still.
Mantente quieto en el suelo.,Lie still.
Escuchá.,Listen up.
Mirá para otro lado.,Look away.
Mira para otro lado.,Look away.
Mire para otro lado.,Look away.
Miren para otro lado.,Look away.
¡Mira hacia atrás!,Look back!
Mira atrás.,Look back.
Mire atrás.,Look back.
Mirad atrás.,Look back.
Mira aquí.,Look here.
Mirad aquí.,Look here.
Miren aquí.,Look here.
Aflójalo.,Loosen it.
Suéltalo.,Loosen it.
Suéltala.,Loosen it.
Aflójala.,Loosen it.
Hazte a un lado.,Move over.
Deja sitio.,Move over.
Mueve el culo.,Move over.
Deja pasar.,Move over.
¡Buen tiro!,Nice shot!
¡Por supuesto!,Of course!
¡Disparad!,Open fire!
¡Fuego a discreción!,Open fire!
¿Perdona?,Pardon me?
"Por favor, ve.",Please go.
"Por favor, vete.",Please go.
"Por favor, márchate.",Please go.
"Por favor, váyase.",Please go.
Póntelo.,Put it on.
Póngaselo.,Put it on.
Lee esto.,Read this.
Lea esto.,Read this.
Lean esto.,Read this.
Leed esto.,Read this.
Decí hola.,Say hello.
A mí que me registren.,Search me.
Véase arriba.,See above.
Véase más arriba.,See above.
¡A por él!,Seize him!
¡Cogedlo!,Seize him!
¡Arrestadlo!,Seize him!
¡Prendedlo!,Seize him!
¡Capturadlo!,Seize him!
¿En serio?,Seriously?
Ella lo intentó.,She tried.
Ella lo probó.,She tried.
Ella anda.,She walks.
Ella camina.,She walks.
Anda.,She walks.
Ella es candente.,She's hot.
Está como un tren.,She's hot.
Está de toma pan y moja.,She's hot.
Está buena.,She's hot.
Está que cruje.,She's hot.
Firme aquí.,Sign here.
Firma esto.,Sign this.
Firme esto.,Sign this.
Firmen esto.,Sign this.
Firmá esto.,Sign this.
Firmad esto.,Sign this.
Siéntate y no te muevas.,Sit still.
Siéntate y quédate quieto.,Sit still.
Sentate ahí.,Sit there.
Tú mantente.,Sit tight.
Quieto.,Slow down.
Más despacio.,Slow down.
Fuera.,Stay away.
Aléjate.,Stay away.
Mantén la calma.,Stay calm.
Mantené la calma.,Stay calm.
Quedate acá.,Stay here.
Da un paso atrás.,Step back.
Para aquí.,Stop here.
Párate aquí.,Stop here.
Detente aquí.,Stop here.
Deténgase aquí.,Stop here.
Deténganse aquí.,Stop here.
Paraos aquí.,Stop here.
Parad aquí.,Stop here.
Para eso.,Stop that.
Deténlos.,Stop them.
Párales.,Stop them.
¡Cuidate!,Take care!
¡Te cuidas!,Take care!
Cuídate.,Take care.
Cuidaos.,Take care.
Coge el mío.,Take mine.
Toma el mío.,Take mine.
Asume el mando.,Take over.
Toma el control.,Take over.
Encárgate tú.,Take over.
Toma esto.,Take this.
Tome esto.,Take this.
Tomen esto.,Take this.
Tomá esto.,Take this.
¡Gracias!,Thank you.
Gracias a ti.,Thank you.
Gracias.,Thank you.
Eso es.,That's it.
Soy yo.,That's me.
Ese soy yo.,That's me.
¿Entonces qué?,Then what?
Cayeron.,They fell.
Se fueron.,They left.
Se marcharon.,They left.
Se iban.,They left.
Perdieron.,They lost.
Tom se inclinó.,Tom bowed.
Tom se preocupó.,Tom cared.
Tom se preocupaba.,Tom cared.
A Tom le importaba.,Tom cared.
Tom se preocupa.,Tom cares.
A Tom le importa.,Tom cares.
Tom lloró.,Tom cried.
Tom dormitó.,Tom dozed.
Tomás condujo.,Tom drove.
Tom está bien.,Tom is OK.
Tom está dentro.,Tom is in.
Tom está levantado.,Tom is up.
Tom teje.,Tom knits.
Tom sabe.,Tom knows.
Tom se mudó.,Tom moved.
Tom se movió.,Tom moved.
Tom se mece.,Tom rocks.
Tom se quedó.,Tom stood.
Tom nada.,Tom swims.
Tom juró.,Tom swore.
Tomás lo intentó.,Tom tried.
Tomás lo intenta.,Tom tries.
Tomás votó.,Tom voted.
Tom camina.,Tom walks.
Tom saludó.,Tom waved.
Tomás trabaja.,Tom works.
Tom irá.,Tom'll go.
Tom está gordo.,Tom's fat.
Tom está loco.,Tom's mad.
Tom está triste.,Tom's sad.
Tom es tímido.,Tom's shy.
Confía en Tom.,Trust Tom.
Inténtalo de nuevo.,Try again.
Intentadlo otra vez.,Try again.
Intenta otra vez.,Try again.
Pruébatelo.,Try it on.
Espera aquí.,Wait here.
Aguarda aquí.,Wait here.
Esperen aquí.,Wait here.
Esperad aquí.,Wait here.
Vigila a Tom.,Watch Tom.
¡Abusado!,Watch out!
Podemos ir.,We can go.
Podemos irnos.,We can go.
Nos podemos marchar.,We can go.
Fallamos.,We failed.
Hemos fallado.,We failed.
Nos olvidamos.,We forgot.
Lo vimos.,We saw it.
Lo veíamos.,We saw it.
Conversamos.,We talked.
Nosotros esperamos.,We waited.
Después veremos.,We'll see.
Ya veremos.,We'll see.
Lo intentaremos.,We'll try.
¡Hemos ganado!,We've won!
¿Qué hay?,What's up?
¿A quién le importa?,Who cares?
¿Quién es él?,Who is he?
¿Quién es?,Who is it?
Aabe...,Who knows?
¿Quién se quedó?,Who stood?
¿Quién irá?,Who'll go?
¿Quién es Tom?,Who's Tom?
Escribe a Tom.,Write Tom.
Tú maneja.,You drive.
Tú empieza.,You start.
Lo intentaste.,You tried.
Tú estás perfectamente.,You're OK.
Estás perfectamente.,You're OK.
Más alto.,Aim higher.
Apuntad más alto.,Aim higher.
¡Todos a bordo!,All aboard!
¿Tengo razón?,Am I right?
¿Me equivoco?,Am I wrong?
¿Estoy equivocada?,Am I wrong?
¡Respóndale a Tomás!,Answer Tom.
¡Respondele a Tomás!,Answer Tom.
¡Respóndanle a Tomás!,Answer Tom.
¿Tienes dieciocho?,Are you 18?
¿Has cumplido dieciocho?,Are you 18?
¿Estás bien?,Are you OK?
¿Te apuntas?,Are you in?
¿Estás dentro?,Are you in?
¿Estás levantado?,Are you up?
Pregúntale a cualquiera.,Ask anyone.
Preguntadle a cualquiera.,Ask anyone.
Pregúntele a cualquiera.,Ask anyone.
Pregúntenle a cualquiera.,Ask anyone.
Pregunta por aquí.,Ask around.
Pregunta en los alrededores.,Ask around.
¡Ten cuidado!,Be careful.
¡Sé cuidadoso!,Be careful.
Estate contento.,Be content.
Llega a tiempo.,Be on time.
Llegue a tiempo.,Be on time.
Sea paciente.,Be patient.
Sé serio.,Be serious.
Los pájaros cantan.,Birds sing.
Los pájaros están cantando.,Birds sing.
Traed comida.,Bring food.
Traed ayuda.,Bring help.
Trae vino.,Bring wine.
¿Puedo ir?,Can I come?
¿Puedo venir?,Can I come?
¿Puedo acercarme?,Can I come?
¿Puedo ayudar?,Can I help?
¿Me puedo quedar?,Can I stay?
Lleva esto.,Carry this.
Comprobad eso.,Check that.
Comprueba esto.,Check this.
Escoge uno.,Choose one.
Vuelve otra vez.,Come again.
Ven solo.,Come alone.
Vente.,Come along.
Vénganse.,Come along.
Vení temprano.,Come early.
Ven temprano.,Come early.
Vengan temprano.,Come early.
Venga temprano.,Come early.
¡Pásale!,Come on in!
¡Pásele!,Come on in!
¡Pásenle!,Come on in!
Entre.,Come on in.
Pase.,Come on in.
¡Ven rápido!,Come quick!
¡Vení rápido!,Come quick!
Ven a mí.,Come to me.
Venid a mí.,Come to me.
Ven a nosotros.,Come to us.
Venid a nosotros.,Come to us.
¡Ya párale!,Cut it out!
¿Fue Tom?,Did Tom go?
¡Pásale!,Do come in!
¡Pásele!,Do come in!
¡Pásenle!,Do come in!
Pasa adentro.,Do come in.
Entra de una vez.,Do come in.
Entra ya.,Do come in.
Métete dentro.,Do come in.
¿Los hombres lloran?,Do men cry?
No vengas.,Don't come.
¡No saltéis!,Don't jump!
No miréis.,Don't look.
¡No os mováis!,Don't move!
No te muevas.,Don't move.
No se mueva.,Don't move.
No se muevan.,Don't move.
No cantes.,Don't sing.
No canten.,Don't sing.
No pares.,Don't stop.
¡No hables!,Don't talk!
No hables.,Don't talk.
¡No esperes!,Don't wait.
¡No esperen!,Don't wait.
No esperes.,Don't wait.
No grites.,Don't yell.
Come despacio.,Eat slowly.
¡Comé despacio!,Eat slowly.
El fuego quema.,Fire burns.
Seguilo a Tomás.,Follow Tom.
Síguelo a Tomás.,Follow Tom.
Sígalo a Tomás.,Follow Tom.
Síganlo a Tomás.,Follow Tom.
Síguele.,Follow him.
Síguelo.,Follow him.
